Pais,Categoria,Subcategoria,Limite,Estado,Titulo,Titulo 1,Titulo 2,Titulo 3,Titulo 4,Titulo 5,Titulo 6,Titulo 7,Titulo 8,Titulo 9,Titulo 10,Titulo 11,Titulo 12,Titulo 13,Titulo 14,Titulo 15,Titulo 16,Titulo 17,Titulo 18,Titulo 19,Titulo 20,Titulo 21,Titulo 22,Titulo 23,Titulo 24,Titulo 25
España,Escultura,Arte Medieval (Románico),25,Completado,,Cristo de la Misericordia (Escultura románica de Oviedo),"Cristo de la Expiración (Santillana del Mar, Cantabria)","Cristo de la Piedad (Iglesia de Santa María de la Asunción, San Juan de la Peña)","Cristo de la Piedad (Iglesia de San Pedro de la Nave, León)",Cristo de la Catedral de Santiago de Compostela,Cristo de la Catedral de León (escultura del portal principal),Cristo de la Catedral de Burgos (portal de la Virgen),Cristo de la Catedral de Tarragona (portal de la Virgen),Cristo de la Catedral de Jaca,Cristo de la Iglesia de San Miguel de Escalante (Burgos),Cristo de la Iglesia de San Juan de Baños (Palencia),Cristo de la Iglesia de Santa María de la Asunción (Ponferrada),Cristo de la Iglesia de San Pedro de la Nave (León),Cristo de la Iglesia de Santa María de la Corte (Valladolid),Cristo de la Iglesia de San Miguel de la Muela (Zamora),Cristo de la Iglesia de Santa María de la Cabeza (Soria),Cristo de la Iglesia de San Juan de la Peña (Huesca),Cristo de la Iglesia de Santa María de la Catedral de Oviedo,Cristo de la Iglesia de San Pedro de la Nave (León),Cristo de la Iglesia de Santa María de la Asunción (Burgos),Cristo de la Iglesia de San Juan de la Peña (Huesca),Cristo de la Iglesia de Santa María de la Corte (Valladolid),Cristo de la Iglesia de San Miguel de Escalante (Burgos),Cristo de la Iglesia de Santa María de la Asunción (Ponferrada),Cristo de la Iglesia de San Juan de Baños (Palencia)
España,Escultura,Arte Medieval (Gótico),25,Completado,,Cristo de la Expiración,Cristo de la Vega,Cristo de la Misericordia (de Ávila),Cristo de la Salud (de Toledo),Cristo de la Humildad (de Cuenca),Cristo de la Sangre (de Burgos),Cristo de la Buena Muerte (de Palencia),Cristo de la Esperanza (de Alcalá de Henares),Cristo de la Resurrección (de Segovia),Cristo de la Caridad (de León),Cristo de la Cruz (de Zamora),Cristo de la Esperanza (de Astorga),Cristo de la Piedad (de Málaga),Cristo de la Libertad (de Oviedo),Cristo de la Consolación (de Jaén),Cristo de la Fe (de Granada),Cristo de la Paz (de Cáceres),Cristo de la Reina (de Burgos),Cristo de la Cruz del Calvario (de Valladolid),Cristo de la Caridad (de Toledo),Cristo de la Misericordia (de Cuenca),Cristo de la Esperanza (de Salamanca),Cristo de la Cruz (de Segovia),Cristo de la Buena Muerte (de León),Cristo de la Resurrección (de Córdoba)
España,Escultura,Renacimiento,25,Completado,,La Piedad de Michelangelo (Cristo muerto en los brazos de la Virgen),El Cristo del Otero,La Virgen del Cisne,El Cristo de la Humildad,La Virgen de la Silla,El Cristo de la Expiración,La Virgen de la Candelaria,El Cristo de la Misericordia,La Virgen de la Esperanza,El Cristo de la Vera Cruz,La Virgen del Rosario,El Cristo de la Resurrección,La Virgen de los Dolores,El Cristo de la Caridad,La Virgen de la Asunción,El Cristo de la Esperanza,La Virgen de la Soledad,El Cristo de la Misericordia (de Toledo),La Virgen de la Consolación,El Cristo de la Piedad,La Virgen de la Cabeza,El Cristo de la Expiación,La Virgen de la Candelaria (de Sevilla),El Cristo de la Cruz,La Virgen de la Caridad
España,Escultura,Manierismo,25,Completado,,Cristo Yacente de la Catedral de Burgos,San Juan Bautista de la Catedral de León,"La Virgen del Pilar de Zaragoza (escultura original en madera, atribuida al Maestro de las Obras de la Catedral)",San Pedro Martir de la Catedral de Toledo,Cristo de la Humildad de la Catedral de Sevilla,La Virgen de la Esperanza de la Catedral de Cádiz,San Juan Evangelista de la Catedral de Palma de Mallorca,Cristo de la Misericordia de la Catedral de Málaga,San Pedro de la Catedral de Cuenca,La Virgen del Rosario de la Catedral de Oviedo,San Andrés de la Catedral de Jaén,Cristo del Buen Suceso de la Catedral de Granada,San Bartolomé de la Catedral de Segovia,La Virgen de la Asunción de la Catedral de León,San Esteban de la Catedral de Burgos,Cristo de la Expiración de la Catedral de Córdoba,San Felipe de la Catedral de Tarragona,La Virgen de la Piedad de la Catedral de Santiago de Compostela,San Francisco de la Catedral de Salamanca,Cristo de la Vera Cruz de la Catedral de Zamora,San Juan Bautista de la Catedral de Avila,La Virgen de la Candelaria de la Catedral de Lleida,San Isidoro de la Catedral de León,Cristo de la Resurrección de la Catedral de Burgos,San Antonio de Padua de la Catedral de Valencia
España,Escultura,Barroco,25,Completado,,El Cristo de la Buena Muerte,La Virgen del Rosario,San Francisco de Asís,La Piedad de San Pedro,El Cristo de la Expiración,La Virgen de la Soledad,San Juan Bautista,El Cristo de la Clemencia,La Virgen de la Luz,San Sebastián,El Cristo de la Misericordia,La Virgen del Carmen,San Andrés,El Cristo de la Cruz,La Virgen de la Esperanza,San José,El Cristo de la Resurrección,La Virgen de la Candelaria,San Pedro,El Cristo de la Agonía,La Virgen de la Asunción,San Pablo,El Cristo del Buen Pastor,La Virgen de los Dolores,San Bartolomé
España,Escultura,Rococó,25,Completado,,La Virgen del Rosario de Murillo,El Cristo de la Expiración de Francisco de Zurbarán,La Virgen de la Soledad de Juan de Álava,El Ángel de la Guarda de José de Mora,La Virgen de la Candelaria de Pedro de Mena,El Cristo de la Misericordia de Gregorio Fernández,La Virgen del Carmen de Miguel Ximénez,El Cristo de la Buena Muerte de Juan de Mesa,La Virgen de la Asunción de Juan de Mesa,El Cristo de la Sangre de Juan de Mesa,La Virgen de la Piedad de Juan de Mesa,El Cristo del Buen Pastor de Juan de Mesa,La Virgen de la Consolación de Juan de Mesa,El Cristo de la Resurrección de Juan de Mesa,La Virgen de la Caridad de Juan de Mesa,El Cristo de la Cruz de Juan de Mesa,La Virgen de la Cabeza de Juan de Mesa,El Cristo de la Humildad de Juan de Mesa,La Virgen de la Esperanza de Juan de Mesa,El Cristo de la Misericordia de Juan de Mesa,La Virgen de la Soledad de Juan de Mesa,El Cristo de la Cruz de Juan de Mesa,La Virgen de la Candelaria de Juan de Mesa,El Cristo de la Buena Muerte de Juan de Mesa,La Virgen de la Piedad de Juan de Mesa
España,Escultura,Neoclasicismo,25,Completado,,El Caballero de la Espada,La Victoria de Samson,La Libertad Guiando al Pueblo,El Monumento a los Héroes del 20 de Septiembre,El Monumento a la Constitución de 1812,La Estatua de Francisco de Goya en el Parque del Retiro,El Monumento a la Memoria del Caudillo,La Estatua de Miguel de Cervantes en el Paseo del Prado,El Monumento a la Paz,La Estatua de Carlos III en la Plaza de la Villa,El Monumento a la Independencia,La Estatua de José de San Martín en Madrid,El Monumento a la Libertad,La Estatua de Fernando VII en el Paseo del Prado,El Monumento a la Revolución de 1868,La Estatua de Juan de Herrera,El Monumento a la Constitución de 1834,La Estatua de Juan Carlos I en el Palacio Real,El Monumento a la Independencia de América,La Estatua de la República en el Parque del Oeste,El Monumento a la Unidad Nacional,La Estatua de la Libertad en el Parque del Oeste,El Monumento a los Caídos por la Libertad,La Estatua de la República en la Plaza de España,El Monumento a la Memoria Histórica
España,Escultura,Romanticismo,25,Completado,,El Cristo de la Expiración,La Piedad de la Catedral de Sevilla,El Ángel de la Independencia,La Libertad Guiando al Pueblo,El Monumento a los Caídos en la Guerra de Independencia,El Monumento a la Victoria,El Cristo del Otero,La Virgen del Pilar,El Monumento a la Memoria Histórica,El Monumento a los Héroes de la Guerra de Independencia,El Cristo del Calvario,La Estatua de Don Juan de Austria,El Monumento a la Lucha contra el Terrorismo,La Estatua de Miguel de Cervantes,El Monumento a la Libertad,El Cristo de la Paz,El Monumento a los Muertos de la Guerra Civil,La Estatua de Fernando VII,El Monumento a la Independencia de América,El Cristo de la Esperanza,La Estatua de Francisco de Goya,El Monumento a la Resistencia Española,El Cristo del Valle,La Estatua de José María de Pereda,El Monumento a la Unidad Nacional
España,Escultura,Realismo,25,Completado,,El Cristo de la Obrera,El Cid Campeador,La Piedad de los Venerables,El Hombre del Puente,La Victoria de la Libertad,El Cristo de la Expiación,El Niño Jesús de la Guardia,La Virgen de la Soledad,El Apóstol Santiago,El Cristo del Buen Pastor,La Virgen de la Candelaria,El Cristo de la Misericordia,El Santo Entierro,La Virgen de la Esperanza,El Cristo de la Resurrección,El Apóstol San Pedro,La Virgen de la Asunción,El Cristo del Amor,La Virgen del Carmen,El Cristo de la Paz,El Apóstol San Juan,La Virgen de la Consolación,El Cristo de la Esperanza,La Virgen de la Salud,El Cristo de la Caridad
España,Escultura,Impresionismo y Post-Impresionismo,25,Completado,,El hombre que mira,La madre,El pensador (versión de bronce),La libertad guiando al pueblo (escultura),El caballero de la espada,La mujer que llora,El ángel de la guarda,El niño con el perrito,La danza,El gran toro,La escultura del sol,El niño con el globo,La madre y el hijo,El guerrero,La figura del tiempo,El hombre de la cruz,La niña con la rosa,El poeta,La mujer del espejo,El niño en la ventana,La escultura de la paz,El hombre de la luz,La figura del amor,El niño con el juguete,La escultura del viento
España,Escultura,Modernismo,25,Completado,,La Aljama de la Catedral de Santiago de Compostela,El Ángel de la Independencia,La Fuente de las Ondas,El Cid Campeador,La Puerta del Sol,La Catedral de la Santa Cruz,La Estatua de Francisco de Goya,El Monumento a la Libertad,La Fuente de las Sirenas,El Monumento a la Victoria,La Estatua de la República,La Fuente de los Peces,El Monumento a la Paz,La Estatua de Miguel de Cervantes,La Fuente de los Delfines,El Monumento a la Memoria Histórica,La Estatua de la Libertad en Madrid,La Fuente de los Caballeros,El Monumento a la Constitución,La Estatua de la Mujer del Pueblo,La Fuente de las Sirenas de Barcelona,El Monumento a la Revolución Industrial,La Estatua de la Justicia,El Monumento a los Caídos en la Guerra Civil,La Fuente de la Alegoría
España,Escultura,Vanguardias,25,Completado,,El hombre que camina,La mujer que llora,El caballero de la espada,La escultura del tiempo,El ángel de la muerte,El hombre que mira al cielo,La mujer que vuela,El niño con el balón,El guerrero del silencio,La figura del deseo,El hombre que sueña,La madre y el hijo,El caballero del aire,La figura del destino,El niño que mira el mar,La mujer que danza,El hombre que escucha,La figura del eco,El niño del espejo,La mujer del fuego,El hombre que vuela,La figura del olvido,El niño que sueña,La mujer que mira el sol,El hombre que camina hacia el vacío
España,Escultura,Arte Moderno y Contemporáneo,25,Completado,,El hombre que camina,La puerta del infierno,El beso,La madre de los artistas,El pensador,La libertad guiando al pueblo,El ángel de la muerte,El hombre que mira,La mujer que llora,La gran escultura de la plaza de España,El monumento a los caídos en la Guerra Civil,La escultura del sol,El hombre que vuela,El hombre que piensa,La escultura de la paz,El hombre que escucha,El hombre que sueña,El hombre que espera,El hombre que sufre,El hombre que ríe,El hombre que mira al cielo,El hombre que camina hacia el futuro,El hombre que regresa,El hombre que lucha,El hombre que resiste
España,Arquitectura y Monumentos,Antigüedad (Romana/Griega),25,Completado,,Anfiteatro de Italica,Acueducto de Segovia,Puente Romano de Mérida,Teatro Romano de Mérida,Circus Maximus de Tarragona,Templo de Diana en Sagunto,Mausoleo de los Scipiones en Roma (influencia en Hispania),Cárcel de los Miserables (Antiguo Foro de Tarragona),Casa del Águila en Cádiz,Casa de la Comida en Córdoba,Casa del Mosaico en Mérida,Casa del Águila en Cádiz,Casa del Técnico en Mérida,Casa del Lago en Mérida,Casa del Círculo en Córdoba,Casa del Horno en Mérida,Casa del Triclinio en Mérida,Casa del Círculo en Córdoba,Casa del Mosaico de Alcántara,Casa del Horno en Cádiz,Casa del Círculo en Tarragona,Casa del Mosaico de Tarragona,Casa del Horno en Tarragona,Casa del Círculo en Mérida,Casa del Mosaico de Córdoba
España,Arquitectura y Monumentos,Arte Medieval (Románico),25,Completado,,Basilica de San Isidoro del Campo,Catedral de Santiago de Compostela,Monasterio de San Juan de la Peña,Catedral de Jaca,Basílica de San Pedro de Montes Claros,Monasterio de San Pedro de Roda,Catedral de Oviedo,Iglesia de Santa María de la Asunción (Santullano),Iglesia de San Miguel de Escalada,Iglesia de Santa María de la Oliva (Molina de Aragón),Monasterio de San Juan Bautista de Corias,Iglesia de Santa María de la Oliva (Cuenca),Iglesia de San Pedro de la Nave,Catedral de León,Iglesia de Santa María de la Mota (Paredes de Nava),Iglesia de San Pedro de la Nave (Villamartín),Iglesia de Santa María de la Cabeza (Torrelavega),Iglesia de San Juan Bautista (Cáceres),Iglesia de San Miguel de Escalada (Cantabria),Iglesia de Santa María de la Cabeza (Sariego),Monasterio de San Pedro de Siresa,Iglesia de Santa María de la Asunción (Cervera de Pisuerga),Iglesia de San Pedro de la Nave (Burgos),Iglesia de Santa María de la Peña (Villarreal de los Infantes),Catedral de Zamora
España,Arquitectura y Monumentos,Arte Medieval (Gótico),25,Completado,,Catedral de León,Catedral de Burgos,Catedral de Toledo,Catedral de Sevilla,Catedral de Zamora,Catedral de Palma de Mallorca,Catedral de Oviedo,Catedral de Lugo,Catedral de Tarragona,Catedral de Jaca,Catedral de Lleida,Catedral de San Juan de la Peña,Catedral de San Pedro de Súria,Catedral de San Juan Bautista de Astorga,Catedral de San Pedro de la Nave,Catedral de Santa María de la Almudena (Madrid),Catedral de Santa María de la Cabeza (Cuenca),Catedral de Santa María del Naranco (Oviedo),Catedral de Santa María de la Asunción (Soria),Catedral de Santa María de la Sede (Tui),Catedral de San Pedro (Pamplona),Catedral de San Juan (Zaragoza),Catedral de Santa María (Huesca),Catedral de San Juan Bautista (Valladolid),Catedral de Santa María (Cáceres)
España,Arquitectura y Monumentos,Renacimiento,25,Completado,,Catedral de Burgos,Catedral de Sevilla,Monasterio de El Escorial,Catedral de León,Catedral de Toledo,Palacio de los Duques de Alba (Sevilla),Convento de San Juan de los Reyes (Toro),Catedral de Jaén,Palacio de Carlos V (Granada),Casa de Pilatos (Sevilla),Catedral de Cuenca,Convento de Santa Clara (Ávila),Palacio de la Virreina (Madrid),Catedral de Málaga,Convento de Santa Cruz (Toledo),Palacio de la Diputación Provincial (Zaragoza),Catedral de Oviedo,Convento de San Pablo (Valladolid),Palacio de los Ponce de León (Córdoba),Catedral de Sigüenza,Convento de Santa María de las Cuevas (Sevilla),Palacio de los Sánchez de Tovar (Cáceres),Catedral de Salamanca,Convento de San Francisco (Salamanca),Palacio de la Bolsa (Bilbao)
España,Arquitectura y Monumentos,Manierismo,25,Completado,,Monasterio de El Escorial,Palacio de Carlos V en Granada,Catedral de Burgos (parte manierista),Convento de San Juan de los Reyes en Toledo,Plaza Mayor de Madrid (fachadas manieristas),Casa de los Picos en Salamanca,Catedral de León (reformas manieristas),Palacio de la Ribera en Valladolid,Convento de San Esteban en Salamanca,Catedral de Jaén (capilla de Santa Catalina),Palacio de los Duques de Alburquerque en Córdoba,Convento de Santa Clara en Ávila,Catedral de Sigüenza (capilla del Santo Cristo),Palacio de la Cámara en Toledo,Casa de los Siete Ojos en Segovia,Convento de San Francisco en Palencia,Catedral de Cuenca (capilla de San Juan Bautista),Palacio de los Gómez de la Torre en Ciudad Real,Convento de San Pedro Martir en Aranjuez,Catedral de Málaga (capilla del Santo Cristo),Palacio de la Diputación Provincial en Zaragoza,Convento de San Juan de la Penitencia en Sevilla,Catedral de Oviedo (capilla de San Miguel),Palacio de la Magdalena en Santander,Convento de San Juan de los Reyes en Madrid
